"SamAccountName","Description","OfficePhone","Surname","UserPrincipalName","GivenName","Name","Company","City","Department","DisplayName"
"TEikmeier","Techmentor User","1001","Eikmeier","TEikmeier@company.pri","Tyree","Tyree Eikmeier","Company.com","Chicago","Development","Tyree Eikmeier"
"MStovall","Techmentor User","1002","Stovall","MStovall@company.pri","Myles","Myles Stovall","Company.com","Chicago","Product Development","Myles Stovall"
"SDearring","Techmentor User","1003","Dearring","SDearring@company.pri","Shelby","Shelby Dearring","Company.com","Miami","Product Development","Shelby Dearring"
"LGneiser","Techmentor User","1004","Gneiser","LGneiser@company.pri","Lawerence","Lawerence Gneiser","Company.com","Chicago","Payroll","Lawerence Gneiser"
"CLamborne","Techmentor User","1005","Lamborne","CLamborne@company.pri","Charley","Charley Lamborne","Company.com","Chicago","Maintenance","Charley Lamborne"
"JMarcus","Techmentor User","1006","Marcus","JMarcus@company.pri","Jerald","Jerald Marcus","Company.com","Chicago","Finance Services","Jerald Marcus"
"SLaske","Techmentor User","1007","Laske","SLaske@company.pri","Sergio","Sergio Laske","Company.com","San Diego","Customer Service","Sergio Laske"
"EEssaid","Techmentor User","1008","Essaid","EEssaid@company.pri","Emil","Emil Essaid","Company.com","New York City","Human Resources","Emil Essaid"
"LHoen","Techmentor User","1009","Hoen","LHoen@company.pri","Lance","Lance Hoen","Company.com","San Diego","Manufacturing","Lance Hoen"
"TPalermo","Techmentor User","1010","Palermo","TPalermo@company.pri","Tyree","Tyree Palermo","Company.com","New York City","HR","Tyree Palermo"
"DBarberr","Techmentor User","1011","Barberr","DBarberr@company.pri","Derick","Derick Barberr","Company.com","San Diego","Customer Service","Derick Barberr"
"WMelle","Techmentor User","1012","Melle","WMelle@company.pri","Willis","Willis Melle","Company.com","San Diego","Consumer Affairs","Willis Melle"
"CGoodnough","Techmentor User","1013","Goodnough","CGoodnough@company.pri","Christopher","Christopher Goodnough","Company.com","New York City","Marketing","Christopher Goodnough"
"GKawski","Techmentor User","1014","Kawski","GKawski@company.pri","Gil","Gil Kawski","Company.com","Miami","Executive","Gil Kawski"
"ERepke","Techmentor User","1015","Repke","ERepke@company.pri","Erwin","Erwin Repke","Company.com","San Diego","Engineering","Erwin Repke"
